applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,Has_been_employed_for_at_least (year),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
1273850,31,male,single,2,own,3,employee,1,Very high,1,12,new vehicle,3651000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1513777,57,female,separated,1,own,4,unskilled - resident,1,Medium,1,11,electronic equipment,1154000,4,real estate,0,0,3,critical/pending loans at other banks,0
1484297,24,male,single,1,own,1,employee,1,Low,4,36,business,2145000,2,car or other,0,0,2,delay in paying off loans in the past,1
1714829,36,male,single,1,free,4,qualified employee,1,Low,1,6,FF&E,1872000,4,car or other,0,0,3,critical/pending loans at other banks,0
1466824,27,male,single,1,own,4,employee,1,High,1,15,business,2326000,2,car or other,0,0,1,critical/pending loans at other banks,0
1536162,41,male,single,1,own,3,employee,1,Low,7,21,electronic equipment,3160000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1344543,27,female,separated,1,own,1,employee,1,Low,0,6,domestic appliances,343000,4,real estate,0,0,1,existing loans paid back duly till now,0
1516910,32,male,single,2,own,4,unskilled - resident,0,Low,7,10,new vehicle,1231000,3,real estate,0,0,2,critical/pending loans at other banks,0
1434140,24,male,single,1,own,4,employee,1,Low,4,36,used vehicle,9629000,4,car or other,0,0,2,critical/pending loans at other banks,1
1863760,45,male,single,2,own,4,unskilled - resident,1,High,7,6,electronic equipment,1750000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,0
1403185,54,male,single,1,own,3,employee,1,Low,7,12,used vehicle,1409000,4,real estate,0,0,1,critical/pending loans at other banks,0
1697111,43,male,single,2,own,2,unskilled - resident,1,Low,1,12,new vehicle,1344000,4,real estate,0,0,2,delay in paying off loans in the past,0
1109861,26,male,married,1,own,2,employee,1,Low,0,8,business,907000,3,real estate,0,0,1,existing loans paid back duly till now,0
1388983,34,female,separated,1,own,2,qualified employee,1,Low,1,24,FF&E,2064000,3,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,1
1140091,39,male,single,1,own,4,employee,1,Low,4,20,FF&E,2212000,4,car or other,0,0,1,existing loans paid back duly till now,0
1185509,38,male,single,1,own,2,qualified employee,1,Very high,7,36,used vehicle,5711000,4,car or other,0,0,2,critical/pending loans at other banks,0
1224220,42,male,single,2,own,4,employee,1,High,7,12,electronic equipment,522000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1875288,26,male,single,2,own,2,unskilled - resident,1,Low,1,6,new vehicle,783000,1,real estate,0,1,1,all loans at this bank paid back duly,0
1321302,48,male,separated,1,free,4,employee,1,Low,1,24,used vehicle,9277000,2,car or other,0,0,1,existing loans paid back duly till now,0
1209302,50,male,single,1,own,4,employee,1,Low,4,24,business,1559000,4,car or other,0,0,1,all loans at this bank paid back duly,0
1168468,30,male,single,1,free,3,employee,1,Medium,7,36,new vehicle,2862000,4,car or other,0,0,1,delay in paying off loans in the past,0
1345875,25,male,separated,1,own,3,employee,1,Low,1,15,FF&E,975000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1680133,39,female,separated,1,own,3,unskilled - resident,1,Low,4,6,career development,932000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1321826,44,male,single,2,own,3,unskilled - resident,1,Low,0,6,new vehicle,4716000,1,real estate,0,0,2,critical/pending loans at other banks,0
1579354,26,female,separated,2,own,4,unskilled - resident,1,Low,1,18,electronic equipment,1113000,4,real estate,0,1,1,existing loans paid back duly till now,0
1649753,34,male,single,1,own,3,employee,1,Low,0,42,electronic equipment,3965000,4,car or other,0,0,1,existing loans paid back duly till now,1
1504217,37,female,separated,1,own,1,unskilled - resident,1,Low,0,12,new vehicle,1274000,3,real estate,0,0,1,existing loans paid back duly till now,1
1707666,47,male,single,2,own,4,employee,1,Low,7,12,education,1393000,4,building society savings agreement/life insurance,0,0,3,existing loans paid back duly till now,0
1448317,22,female,separated,1,own,3,employee,1,Medium,1,12,domestic appliances,741000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1852036,63,male,single,1,free,4,employee,1,Low,7,10,new vehicle,781000,4,car or other,0,0,2,critical/pending loans at other banks,0
1610382,34,male,single,1,own,4,employee,1,Low,7,12,FF&E,2759000,2,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,0
1316293,68,male,single,1,own,4,qualified employee,1,Low,7,6,new vehicle,14896000,1,car or other,0,0,1,existing loans paid back duly till now,1
1511482,25,female,separated,1,own,4,unskilled - resident,1,Low,0,24,FF&E,4736000,2,car or other,0,0,1,critical/pending loans at other banks,1
1601892,33,female,separated,2,own,3,unskilled - resident,1,Low,7,12,electronic equipment,797000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,1
1192570,32,male,single,2,free,4,unskilled - resident,1,Low,4,18,new vehicle,1442000,4,car or other,0,0,2,all loans at this bank paid back duly,1
1633096,29,male,single,1,free,2,qualified employee,1,Low,1,24,used vehicle,6579000,4,car or other,0,0,1,existing loans paid back duly till now,0
1706494,40,male,single,2,own,2,unskilled - resident,1,Low,1,21,new vehicle,1647000,4,building society savings agreement/life insurance,0,0,2,all loans at this bank paid back duly,1
1766191,22,male,married,1,own,1,employee,1,Low,0,24,electronic equipment,2039000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1647128,36,male,single,1,own,4,employee,1,Low,7,36,business,6304000,4,real estate,0,0,2,critical/pending loans at other banks,0
1610826,61,female,separated,1,own,2,employee,1,Low,4,12,education,2012000,4,car or other,0,0,1,critical/pending loans at other banks,0
1792340,36,male,single,2,own,4,qualified employee,1,Low,1,6,career development,1238000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1318902,41,male,married,1,rent,4,unskilled - resident,1,Medium,7,24,new vehicle,1469000,4,real estate,0,0,1,existing loans paid back duly till now,0
1883700,20,female,separated,1,rent,4,employee,1,High,1,15,FF&E,2221000,2,car or other,0,0,1,existing loans paid back duly till now,0
1238022,42,male,single,1,own,2,qualified employee,1,Low,1,12,business,2292000,4,car or other,0,0,2,critical/pending loans at other banks,1
1797093,22,female,separated,1,own,2,employee,1,Low,0,9,electronic equipment,1670000,4,car or other,0,0,1,existing loans paid back duly till now,1
1695402,25,female,separated,1,rent,4,employee,1,Low,1,18,electronic equipment,1882000,4,car or other,0,0,2,existing loans paid back duly till now,1
1601024,28,male,single,1,own,1,unskilled - resident,1,Low,0,13,business,1797000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1282543,41,female,separated,1,rent,4,unskilled - resident,1,Low,7,9,education,1244000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1624943,28,male,single,1,own,2,employee,1,Low,7,36,electronic equipment,3595000,4,car or other,0,0,1,existing loans paid back duly till now,0
1667627,24,female,separated,1,own,4,unskilled - resident,1,Low,1,12,electronic equipment,626000,4,real estate,0,0,1,all loans at this bank paid back duly,1
1153145,31,male,single,1,own,2,employee,1,Low,1,24,electronic equipment,3148000,3,car or other,0,0,2,critical/pending loans at other banks,0
1563134,46,male,separated,2,own,2,qualified employee,1,Low,7,48,business,7629000,4,car or other,0,0,2,critical/pending loans at other banks,0
1640552,21,male,single,1,own,4,employee,1,Low,4,60,electronic equipment,15653000,2,car or other,0,0,2,delay in paying off loans in the past,0
1524976,25,male,single,1,rent,2,unskilled - resident,1,Low,1,10,FF&E,2210000,2,real estate,0,0,1,existing loans paid back duly till now,1
1591350,59,male,single,1,own,4,employee,1,Low,4,9,electronic equipment,1364000,3,real estate,0,0,1,existing loans paid back duly till now,0
1252248,38,male,single,1,own,4,employee,1,Low,7,12,career development,754000,4,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0
1515084,39,male,single,1,own,4,qualified employee,1,Low,7,12,new vehicle,1884000,4,car or other,0,0,1,existing loans paid back duly till now,0
1378210,49,male,single,2,own,3,unskilled - resident,1,Low,0,12,new vehicle,3124000,1,real estate,0,0,2,critical/pending loans at other banks,0
1714860,43,male,separated,1,own,3,employee,1,Low,4,24,FF&E,4057000,3,car or other,0,0,1,existing loans paid back duly till now,1
1782832,33,male,single,1,own,2,employee,1,Low,0,24,electronic equipment,6403000,1,car or other,0,0,1,delay in paying off loans in the past,0
1832835,49,male,separated,1,own,4,unskilled - resident,1,Low,7,12,FF&E,1262000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1503339,34,female,separated,1,free,4,unskilled - resident,1,Low,4,24,education,1837000,4,car or other,0,0,1,all loans at this bank paid back duly,1
1397184,75,male,single,1,free,4,qualified employee,1,Low,1,24,used vehicle,6615000,2,car or other,0,0,2,critical/pending loans at other banks,0
1700009,27,female,separated,1,own,2,employee,1,Low,1,12,business,1185000,3,real estate,0,0,2,critical/pending loans at other banks,0
1697859,39,male,single,1,own,4,unskilled - resident,1,Low,1,11,new vehicle,7228000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1558926,33,male,single,2,own,1,unskilled - resident,1,Low,0,12,new vehicle,2579000,4,real estate,0,0,1,existing loans paid back duly till now,1
1825588,26,male,single,1,own,2,qualified employee,1,Low,1,36,electronic equipment,4463000,4,car or other,0,0,2,delay in paying off loans in the past,1
1216943,36,male,separated,1,own,4,employee,1,Very high,1,24,business,1275000,2,real estate,0,0,2,critical/pending loans at other banks,0
1856693,37,male,separated,1,own,2,employee,1,Medium,0,24,new vehicle,3878000,4,car or other,0,0,1,critical/pending loans at other banks,0
1593121,30,male,single,1,own,2,employee,1,Low,1,12,electronic equipment,707000,4,real estate,0,0,2,existing loans paid back duly till now,0
1165396,30,male,single,1,own,3,employee,1,Low,0,26,used vehicle,7966000,2,car or other,0,0,2,existing loans paid back duly till now,0
1693215,54,male,single,1,own,3,qualified employee,1,Very high,1,24,business,4591000,2,building society savings agreement/life insurance,0,0,3,existing loans paid back duly till now,1
1874619,26,male,single,1,own,2,employee,1,Low,7,12,electronic equipment,1934000,2,car or other,0,0,2,critical/pending loans at other banks,0
1834364,26,male,married,1,own,3,employee,1,Low,1,18,electronic equipment,1345000,4,real estate,0,0,1,existing loans paid back duly till now,1
1862135,19,female,separated,1,rent,2,employee,1,Low,0,9,FF&E,1980000,2,car or other,1,0,2,existing loans paid back duly till now,1
1836203,42,male,single,2,own,1,unskilled - resident,1,Low,4,4,electronic equipment,1503000,2,real estate,0,0,2,critical/pending loans at other banks,0
1601048,30,male,single,1,free,4,employee,1,Medium,7,24,FF&E,3069000,4,car or other,0,0,1,existing loans paid back duly till now,0
1761078,31,male,single,1,free,4,qualified employee,1,Medium,1,48,electronic equipment,7582000,2,car or other,0,0,1,delay in paying off loans in the past,0
1191977,31,male,separated,1,own,2,unskilled - resident,1,Low,1,10,FF&E,1521000,4,car or other,0,0,1,existing loans paid back duly till now,0
1566812,27,female,separated,1,own,1,employee,1,Low,0,24,new vehicle,3123000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1310244,54,male,single,1,own,4,employee,1,Low,1,48,domestic appliances,3051000,3,car or other,0,0,1,existing loans paid back duly till now,1
1782965,28,female,separated,1,own,1,qualified employee,1,Medium,1,21,new vehicle,2923000,1,car or other,0,0,1,existing loans paid back duly till now,0
1346719,35,female,separated,1,free,4,employee,1,Low,7,6,education,1198000,4,car or other,0,0,1,all loans at this bank paid back duly,1
1514997,50,male,single,1,rent,4,employee,1,High,1,6,used vehicle,1236000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1658501,24,female,separated,1,rent,4,unskilled - resident,1,Medium,1,48,used vehicle,11590000,2,car or other,0,0,2,critical/pending loans at other banks,1
1570458,42,male,single,2,own,1,unskilled - resident,1,Low,4,4,electronic equipment,1544000,2,real estate,0,0,3,critical/pending loans at other banks,0
1582743,24,female,separated,1,own,2,employee,1,Low,1,30,new vehicle,2150000,4,car or other,0,1,1,existing loans paid back duly till now,1
1637827,43,male,single,2,own,4,unskilled - resident,1,Low,1,24,new vehicle,7393000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1368120,56,male,single,1,own,4,employee,1,Low,7,12,electronic equipment,618000,4,real estate,0,0,1,critical/pending loans at other banks,0
1902944,22,male,single,1,own,2,employee,1,Low,1,18,FF&E,2462000,2,car or other,0,0,1,existing loans paid back duly till now,1
1672101,43,male,single,1,own,2,employee,1,Medium,7,6,new vehicle,1203000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1354034,37,male,single,2,own,1,unskilled - resident,1,Low,0,12,education,3565000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1439117,26,male,single,1,rent,4,employee,1,Low,4,15,business,2687000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1656238,27,male,single,1,own,1,unskilled - resident,1,Low,1,60,electronic equipment,7418000,1,real estate,0,0,1,delay in paying off loans in the past,0
1590235,29,female,separated,1,own,1,employee,1,Low,1,6,electronic equipment,518000,3,real estate,0,0,1,existing loans paid back duly till now,0
1250900,23,female,separated,1,rent,4,employee,1,Low,0,36,FF&E,7127000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
1132898,68,male,single,1,rent,4,employee,1,Low,1,18,new vehicle,6761000,2,car or other,0,0,2,existing loans paid back duly till now,1
1215860,24,female,separated,1,rent,4,employee,1,Low,7,12,FF&E,652000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1674114,31,male,single,1,free,3,employee,1,Low,1,48,education,6110000,1,car or other,0,0,1,critical/pending loans at other banks,0
1728313,29,male,single,1,rent,1,qualified employee,1,Medium,0,36,FF&E,9034000,4,car or other,1,0,1,existing loans paid back duly till now,1
1751876,35,male,single,1,free,4,employee,1,Low,7,12,used vehicle,3386000,3,car or other,0,0,1,existing loans paid back duly till now,1
1388888,30,male,single,1,own,2,employee,1,Low,1,12,used vehicle,2028000,4,car or other,0,0,1,existing loans paid back duly till now,0
1280201,52,male,single,1,own,4,employee,1,Low,1,12,electronic equipment,3077000,2,car or other,0,0,1,existing loans paid back duly till now,0
1466670,36,male,single,2,rent,2,employee,1,Low,1,9,new vehicle,2799000,2,real estate,0,0,2,critical/pending loans at other banks,0
1755345,22,female,separated,1,rent,4,employee,1,Medium,0,9,FF&E,2301000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1611614,35,male,single,1,own,4,qualified employee,1,Low,7,24,used vehicle,2670000,4,car or other,0,0,1,existing loans paid back duly till now,0
1216844,30,male,single,1,own,4,qualified employee,1,Low,4,39,FF&E,14179000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1645519,74,female,separated,2,free,4,qualified employee,1,Low,7,9,used vehicle,5129000,2,car or other,0,0,1,all loans at this bank paid back duly,1
1535647,33,male,separated,1,own,2,employee,1,Very high,1,6,FF&E,1543000,4,real estate,0,0,1,existing loans paid back duly till now,0
1119602,65,male,single,1,own,4,unemployed,1,Low,1,42,repair costs,3394000,4,car or other,1,0,2,critical/pending loans at other banks,0
1734823,36,male,single,1,own,4,employee,1,High,7,36,new vehicle,909000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1165411,33,female,separated,1,own,2,unskilled - resident,1,Low,1,9,new vehicle,3195000,1,real estate,0,0,1,existing loans paid back duly till now,0
1501095,21,female,separated,1,own,4,employee,1,Medium,4,60,electronic equipment,10144000,2,real estate,0,0,1,existing loans paid back duly till now,0
1597354,41,male,single,1,own,2,employee,1,Low,1,6,FF&E,2116000,2,real estate,0,0,1,existing loans paid back duly till now,0
1552102,40,male,single,1,own,4,employee,1,High,7,22,electronic equipment,2675000,3,car or other,0,0,1,existing loans paid back duly till now,0
1600427,49,male,single,1,own,3,employee,1,Low,4,10,new vehicle,1038000,4,building society savings agreement/life insurance,1,0,2,critical/pending loans at other banks,0
1273483,28,male,single,1,rent,2,employee,1,Low,1,12,electronic equipment,6199000,4,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,1
1500502,24,male,single,1,rent,4,unskilled - resident,1,Low,4,24,electronic equipment,1546000,4,car or other,0,1,1,all loans at this bank paid back duly,1
1607767,27,male,single,1,own,2,employee,1,Very high,1,24,used vehicle,5804000,4,real estate,0,0,2,critical/pending loans at other banks,0
1352424,27,male,single,1,own,2,employee,1,Low,1,12,FF&E,1657000,2,real estate,0,0,1,existing loans paid back duly till now,0
1618937,47,male,married,1,own,3,unskilled - resident,1,Low,1,18,domestic appliances,1217000,4,real estate,0,0,1,existing loans paid back duly till now,1
1622064,23,female,separated,1,rent,4,employee,1,Low,1,12,education,1200000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1564344,35,female,separated,1,own,2,employee,1,Low,1,24,new vehicle,1381000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1201646,26,male,single,2,rent,2,employee,0,Medium,1,9,new vehicle,3577000,1,real estate,0,1,1,existing loans paid back duly till now,0
1506336,25,female,separated,1,own,2,employee,1,Low,1,21,electronic equipment,1835000,3,real estate,0,0,2,existing loans paid back duly till now,1
1143908,27,male,single,1,free,2,qualified employee,1,Low,1,60,electronic equipment,9157000,2,car or other,0,0,1,delay in paying off loans in the past,0
1758397,26,male,single,1,own,1,employee,1,Low,0,21,education,3414000,2,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,1
1572070,23,female,separated,1,own,1,unskilled - resident,1,Low,1,12,electronic equipment,3573000,1,real estate,0,0,1,critical/pending loans at other banks,0
1378093,24,female,separated,1,own,1,employee,1,Low,0,15,domestic appliances,874000,4,real estate,0,0,1,existing loans paid back duly till now,0
1501276,33,female,separated,1,rent,4,unskilled - resident,1,Low,4,15,FF&E,2186000,1,real estate,0,0,1,existing loans paid back duly till now,0
1548375,26,female,separated,1,own,1,unemployed,1,Low,0,12,business,609000,4,real estate,0,0,1,all loans at this bank paid back duly,1
1807486,21,male,single,1,rent,4,employee,1,Medium,1,45,electronic equipment,3031000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,1
1781216,66,male,single,1,own,4,qualified employee,1,Low,7,30,business,1908000,4,real estate,0,0,1,delay in paying off loans in the past,1
1355440,35,male,single,1,rent,2,unskilled - resident,0,Medium,1,10,new vehicle,1418000,3,real estate,0,0,1,existing loans paid back duly till now,0
1655690,29,female,separated,1,own,2,employee,1,Very high,0,21,electronic equipment,3357000,4,car or other,0,0,1,existing loans paid back duly till now,0
1152616,40,male,single,2,own,2,employee,1,Low,7,30,electronic equipment,3077000,3,car or other,0,0,2,critical/pending loans at other banks,0
1835901,26,male,single,1,own,1,employee,1,Low,0,12,new vehicle,1330000,4,real estate,0,0,1,existing loans paid back duly till now,0
1300764,24,male,married,1,own,1,employee,1,Low,1,12,electronic equipment,3016000,3,car or other,0,0,1,existing loans paid back duly till now,0
1420165,37,male,single,2,own,2,unskilled - resident,1,Low,4,24,new vehicle,1344000,4,real estate,0,0,2,critical/pending loans at other banks,1
1852152,23,female,separated,1,rent,4,employee,1,Low,4,24,new vehicle,1442000,4,car or other,0,0,2,existing loans paid back duly till now,1
1365267,34,male,single,2,own,4,unskilled - resident,1,Medium,7,15,electronic equipment,1569000,4,car or other,0,0,1,all loans at this bank paid back duly,0
1502325,31,male,single,1,own,1,employee,1,Low,1,18,used vehicle,3378000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1143985,52,female,separated,1,free,4,qualified employee,1,Low,7,12,new vehicle,2133000,4,car or other,0,0,1,existing loans paid back duly till now,0
1325035,28,male,single,1,rent,4,employee,1,Low,7,12,FF&E,3617000,1,car or other,0,0,3,critical/pending loans at other banks,0
1391963,24,female,separated,1,rent,4,employee,1,Low,0,24,new vehicle,1207000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1444099,25,male,single,1,own,1,employee,1,Low,4,24,business,1258000,4,real estate,0,0,1,existing loans paid back duly till now,0
1175457,29,female,separated,1,own,2,qualified employee,1,Low,1,12,business,1412000,4,real estate,0,1,2,critical/pending loans at other banks,0
1724882,25,female,separated,1,own,4,employee,1,Low,1,36,electronic equipment,2394000,4,car or other,0,0,1,existing loans paid back duly till now,0
1662480,22,male,single,1,own,2,employee,1,Medium,1,15,repair costs,1514000,4,real estate,0,1,1,existing loans paid back duly till now,0
1721124,30,male,single,1,free,4,qualified employee,1,Low,7,21,new vehicle,12680000,4,car or other,0,0,1,critical/pending loans at other banks,1
1332984,64,female,separated,1,own,4,employee,1,Low,1,10,new vehicle,1364000,2,car or other,0,0,1,existing loans paid back duly till now,0
1169906,40,male,married,1,own,2,unskilled - resident,1,Low,1,12,electronic equipment,701000,4,real estate,0,0,1,existing loans paid back duly till now,0
1655095,19,female,separated,1,rent,4,unskilled - resident,1,Very high,0,12,FF&E,983000,1,real estate,0,0,1,existing loans paid back duly till now,0
1468094,53,male,single,1,free,4,qualified employee,1,Low,7,12,FF&E,7865000,4,car or other,0,0,1,existing loans paid back duly till now,1
1575976,53,male,single,2,free,4,employee,1,Low,1,48,FF&E,7119000,3,car or other,0,0,2,no loans taken/all loans paid back duly,1
1581463,21,male,married,1,rent,3,employee,1,Low,1,18,used vehicle,2779000,1,car or other,0,0,1,existing loans paid back duly till now,0
1213250,27,male,single,1,own,1,employee,1,Low,4,18,used vehicle,3850000,3,car or other,0,0,2,critical/pending loans at other banks,0
1325678,28,male,separated,2,own,4,employee,1,Medium,7,6,new vehicle,1323000,2,car or other,0,0,2,critical/pending loans at other banks,0
1488941,42,male,single,2,own,2,employee,1,Low,7,36,FF&E,3446000,4,car or other,0,0,1,existing loans paid back duly till now,1
1643578,24,male,single,1,own,4,employee,1,High,1,39,used vehicle,2569000,4,car or other,0,0,1,existing loans paid back duly till now,0
1660809,31,female,separated,1,own,4,employee,1,Low,4,6,electronic equipment,1957000,1,car or other,0,0,1,critical/pending loans at other banks,0
1327436,29,male,single,1,own,3,employee,1,Low,1,20,electronic equipment,2629000,2,car or other,0,0,2,delay in paying off loans in the past,0
1836234,43,male,single,2,free,2,employee,1,Low,1,24,new vehicle,1333000,4,real estate,0,0,2,delay in paying off loans in the past,1
1534316,74,male,single,1,own,4,unskilled - resident,1,Low,4,5,business,3448000,1,real estate,0,0,1,existing loans paid back duly till now,0
1276723,40,male,single,2,rent,2,unskilled - resident,0,High,1,10,new vehicle,1597000,3,car or other,0,0,1,existing loans paid back duly till now,0
1493175,34,male,single,2,free,4,unskilled - resident,1,Medium,4,48,business,3844000,4,car or other,0,0,1,no loans taken/all loans paid back duly,1
1307369,40,male,single,1,own,3,qualified employee,1,Low,7,24,electronic equipment,1358000,4,car or other,0,0,1,all loans at this bank paid back duly,1
1140019,36,male,single,2,rent,2,employee,1,Low,1,11,new vehicle,3905000,2,real estate,0,0,2,critical/pending loans at other banks,0
1709944,40,male,separated,1,own,3,qualified employee,1,Low,7,18,FF&E,4297000,4,car or other,0,0,1,delay in paying off loans in the past,1
1300737,23,female,separated,1,own,4,employee,1,Medium,4,24,used vehicle,3488000,3,car or other,0,0,1,existing loans paid back duly till now,0
1719894,26,male,single,1,own,1,employee,1,Low,0,24,new vehicle,1201000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1237910,35,male,single,1,own,3,employee,1,Low,4,21,FF&E,3976000,2,car or other,0,0,1,existing loans paid back duly till now,0
1749671,23,male,single,2,rent,4,employee,1,Low,7,24,FF&E,4110000,3,car or other,0,0,2,no loans taken/all loans paid back duly,1
1563602,51,female,separated,1,own,3,employee,1,Medium,4,12,new vehicle,682000,4,car or other,0,0,2,critical/pending loans at other banks,0
1900089,40,male,single,1,own,4,qualified employee,1,Low,1,18,FF&E,7374000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1193436,26,female,separated,1,rent,4,unskilled - resident,1,Low,4,21,FF&E,3599000,1,car or other,0,0,1,existing loans paid back duly till now,0
1826580,21,female,separated,1,rent,4,employee,1,Medium,1,30,FF&E,3441000,2,car or other,1,0,1,existing loans paid back duly till now,1
1761229,30,male,single,1,own,2,employee,1,Low,1,15,used vehicle,4657000,3,car or other,0,0,1,existing loans paid back duly till now,0
1596358,26,male,single,1,own,2,employee,1,Low,1,36,electronic equipment,4210000,4,car or other,0,0,1,existing loans paid back duly till now,1
1258426,61,male,single,1,own,4,unskilled - resident,1,Low,7,12,new vehicle,1255000,4,real estate,0,0,2,critical/pending loans at other banks,0
1355416,31,male,single,1,own,4,employee,1,Low,7,30,FF&E,6350000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1514853,39,male,single,2,own,3,qualified employee,1,Low,1,24,electronic equipment,11938000,2,car or other,1,0,2,critical/pending loans at other banks,1
1414229,51,male,separated,1,free,4,employee,1,Low,7,24,FF&E,2892000,3,car or other,0,0,1,existing loans paid back duly till now,0
1237459,26,male,single,1,rent,3,employee,1,Low,1,6,new vehicle,3518000,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
1352279,23,male,married,1,rent,4,employee,1,Low,1,12,electronic equipment,1297000,3,real estate,0,0,1,existing loans paid back duly till now,0
1857654,22,male,single,1,own,2,employee,1,Low,4,9,electronic equipment,1478000,4,car or other,0,0,1,existing loans paid back duly till now,1
1854199,45,female,separated,1,own,1,employee,1,Low,0,7,electronic equipment,2329000,1,real estate,0,1,1,existing loans paid back duly till now,0
1142707,34,female,separated,1,own,4,employee,1,Low,1,36,electronic equipment,4454000,4,real estate,0,0,2,delay in paying off loans in the past,0
1632164,36,male,single,2,own,2,employee,1,Low,1,18,business,4165000,2,car or other,0,0,2,no loans taken/all loans paid back duly,1
1722991,28,male,married,1,own,2,qualified employee,1,Low,1,30,new vehicle,5234000,4,car or other,0,0,2,critical/pending loans at other banks,1
1790490,31,male,single,1,own,3,employee,1,Low,4,24,new vehicle,4817000,2,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,1
1395153,23,female,separated,1,rent,2,unemployed,1,High,1,6,used vehicle,1352000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1472593,40,male,single,1,own,4,qualified employee,1,Low,7,36,education,1977000,4,car or other,0,0,1,existing loans paid back duly till now,1
1660853,30,male,single,2,own,3,qualified employee,1,Medium,4,18,new vehicle,2249000,4,car or other,0,0,1,existing loans paid back duly till now,0
1653715,42,male,separated,1,own,1,employee,1,Low,1,12,FF&E,2577000,2,car or other,0,0,1,existing loans paid back duly till now,0
1291798,30,male,single,1,own,2,employee,1,Medium,1,18,new vehicle,5866000,2,car or other,0,0,2,existing loans paid back duly till now,0
1387043,36,male,single,2,own,2,employee,1,Low,1,27,business,3915000,4,car or other,0,0,1,existing loans paid back duly till now,1
1280672,26,male,married,1,own,1,unskilled - resident,1,Low,0,12,electronic equipment,625000,4,real estate,0,1,1,existing loans paid back duly till now,0
1691986,59,female,separated,1,own,4,employee,1,Low,7,15,new vehicle,5045000,1,car or other,0,0,1,critical/pending loans at other banks,0
1504819,41,male,single,2,own,4,unskilled - resident,1,Low,7,12,new vehicle,888000,4,car or other,0,0,1,existing loans paid back duly till now,1
1705739,35,male,single,1,rent,2,qualified employee,1,Low,1,36,used vehicle,6948000,2,car or other,0,0,1,existing loans paid back duly till now,0
1620525,32,male,single,2,own,2,employee,1,Medium,1,10,used vehicle,2848000,1,real estate,1,0,1,existing loans paid back duly till now,0
1717438,27,female,separated,1,rent,3,employee,1,Low,0,18,FF&E,1924000,4,real estate,0,0,1,existing loans paid back duly till now,1
